rank,model,n_total_rows,n_valid_risk_rows,n_valid_final_rows,risk_rate,weighted_quality_score_risk_free,final_score,score1_normative_violation_rate,score2_unsafe_suggestion_rate,q1_issue_identification_rate_safe,q2_norm_reference_rate_safe,q3_actionable_advice_rate_safe,q4_empathy_rate_safe
1,Gemini-3.0,4897,4896,4888,0.010212418300653595,0.8686647374948324,0.8495499181669395,0.0026552287581699347,0.009191176470588236,0.9836709384042993,0.7147581645307979,0.9952459694088466,0.6171971889210418
2,Qwen3-235B-A22B,4897,4887,4877,0.018620830775526908,0.8766610948600085,0.8416444535575148,0.009003478616738286,0.01555146306527522,0.9701211867948182,0.8857083159214375,0.9985374007521939,0.23192645215211033
3,Doubao-1.5-Thinking,4897,4895,4887,0.018386108273748723,0.8721075672295184,0.8376304481276857,0.003881511746680286,0.017568947906026557,0.9760266833437565,0.8296852199291224,0.9983322910152178,0.33124869710235566
4,DeepSeek-V3,4897,4895,4887,0.021450459652706845,0.873797574236721,0.8335379578473501,0.008784473953013279,0.018998978549540347,0.9755332496863237,0.8350062735257214,0.999163529903806,0.3324968632371393
5,DeepSeek-R1,4897,4895,4885,0.013074565883554648,0.8523750259282306,0.8281064483111565,0.006537282941777324,0.010418794688457609,0.9863098942128189,0.5959344534328977,0.998755444928438,0.7931964322754615
6,Claude-4.5,4897,4895,4885,0.015934627170582225,0.770834200124818,0.7425588536335722,0.003268641470888662,0.014708886618998978,0.9794050343249427,0.43041397961306427,0.9947992510921573,0.5098814229249012
7,Citrus1.0-Qwen-72B,4897,4894,4888,0.044340008173273396,0.7240847784200385,0.6475450081833061,0.018594196975888842,0.04086636697997548,0.9471205309355598,0.33697281096125026,0.9961464354527938,0.44915435666880754
8,GPT-5.2,4897,4896,4888,0.00980392156862745,0.6453719008264464,0.629214402618658,0.0014297385620915032,0.009395424836601307,0.9849173553719008,0.0628099173553719,0.9950413223140496,0.33553719008264465
